SMILES,Tg
*C*,-63.48
*C(C*)C,-2.73
*C(C*)CC,-22.54
*C(C*)CCC,-32.29
*C(C*)C(C)C,10.97
*C(C*)CCCC,-49.86
*C(C*)CC(C)C,45.5
*C(C*)CCCCC,-45.5
*C(C*)CCCCCCC,-47.0
*C(C*)CCCCCCCC,-35.0
*C(C*)(C)C,-65.41
*C(C*)(CC)C,-5.0
*C(CC*)(C)C,10.97
*C(C(C*)C)(C)C,37.0
*C(CCC*)(C)C,45.5
*C(CCC*)(CC)C,-23.0
*C(CCCCCCC*)C,-58.0
*C(C*)C1CCCC1,75.0
*C(C*)CC1CCCC1,60.0
*C(C*)C1CCCCC1,117.68
*C(C*)CC1CCCCC1,75.0
*C(C*)Cc1ccccc1,63.33
*C(C*)CCc1ccccc1,17.5
*C(C*)CCCCCC,-56.48
*C(C*)CCCCCCCCCC,-73.33
*C(C*)CCCCCCCCCCCC,10.0
*C(C*)CCCCCCCCCCCCCCCC,-25.33
*C(C*)CC(C)(C)C,190.0
*C(C*)CCC1CCCCC1,40.0
*C(C*)(CCC)C,27.0
*C=CCCC*,-101.57
*C=CCC*,-89.57
*C(C(CC*)C)C,-32.0
*C(C*)CCCCCCCCCCCCCC,-24.0
*C=CCCCCCC*,-86.5
*C(C*)C1CC(CCC1)C,141.0
*C(C*)C1CCC(CC1)C,132.0
*C(=CCC*)CCCCCCC,-83.0
*C(=CCC*)C(C)C,-47.0
*C1CC(CC1)C=C*,39.97
*C=CCCCCCCCCCC*,-53.0
*C=C*,-25.5
*C1(CCCCC1)C*,100.0
*C(C*)c1ccccc1,92.74
*C(C*)c1c(cccc1)C,124.17
*C(C*)c1c(cccc1)COC,89.0
*C(C*)c1c(cccc1)COCC,74.0
*C(C*)c1c(cccc1)COCCC,97.0
*C(C*)c1c(cccc1)COC(C)C,88.0
*C(C*)c1c(cccc1)COCCCC,67.0
*C(C*)c1c(cccc1)COCCCCC,47.0
*C(C*)c1c(cccc1)COCCC(C)C,78.0
*C(C*)c1c(cccc1)COCc1ccccc1,72.0
*C(C*)c1c(cccc1)COCCc1ccccc1,63.0
*C(C*)c1c(cccc1)C(=O)NC,189.0
*C(C*)c1c(cccc1)C(=O)N(C)C,190.0
*C(C*)c1c(cccc1)C(=O)Nc1ccccc1,191.0
*C(C*)c1c(cccc1)C(=O)O,177.0
*C(C*)c1c(cccc1)C(=O)OC,130.0
*C(C*)c1c(cccc1)C(=O)OCC,118.0
*C(C*)c1c(cccc1)C(=O)OCCC,108.0
*C(C*)c1c(cccc1)C(=O)OC(C)C,146.0
*C(C*)c1c(cccc1)C(=O)OCCCC,66.0
*C(C*)c1c(cccc1)C(=O)OCC(C)C,127.0
*C(C*)c1c(cccc1)C(=O)OCCCCC,92.0
*C(C*)c1c(cccc1)C(=O)OCCC(C)C,68.0
*C(C*)c1c(cccc1)C(=O)OCCCCCC,45.0
*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,124.0
*C(C*)c1c(cccc1)C(=O)OCCN(C)C,69.0
*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,91.0
*C(C*)c1c(cccc1)Cl,112.63
*C(C*)c1cc(ccc1)C,74.83
*C(C*)c1cc(ccc1)Cl,87.25
*C(C*)c1cc(ccc1)F,86.0
*C(C*)c1ccc(cc1)C,103.07
*C(C*)c1ccc(cc1)CC,50.47
*C(C*)c1ccc(cc1)C(C)C,62.4
*C(C*)c1ccc(cc1)CCCC,14.4
